Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:369: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 10088 | step: 39200 | reward: -2.3804 | episode length: 3.8823529411764706
episode: 10144 | step: 39400 | reward: -2.1616 | episode length: 3.625
episode: 10197 | step: 39600 | reward: -2.5481 | episode length: 3.7358490566037736
episode: 10243 | step: 39800 | reward: -2.4511 | episode length: 4.195652173913044
episode: 10302 | step: 40000 | reward: -2.7492 | episode length: 3.542372881355932
episode: 10360 | step: 40200 | reward: -2.6957 | episode length: 3.4310344827586206
episode: 10410 | step: 40400 | reward: -2.4910 | episode length: 4.0
episode: 10460 | step: 40600 | reward: -2.5890 | episode length: 4.0
episode: 10506 | step: 40800 | reward: -2.2598 | episode length: 4.326086956521739
episode: 10561 | step: 41000 | reward: -2.3191 | episode length: 3.672727272727273
episode: 10617 | step: 41200 | reward: -2.4545 | episode length: 3.517857142857143
episode: 10667 | step: 41400 | reward: -2.1250 | episode length: 4.02
episode: 10714 | step: 41600 | reward: -2.3436 | episode length: 4.191489361702128
episode: 10760 | step: 41800 | reward: -2.7185 | episode length: 4.391304347826087
episode: 10815 | step: 42000 | reward: -2.5709 | episode length: 3.672727272727273
episode: 10874 | step: 42200 | reward: -2.7763 | episode length: 3.389830508474576
episode: 10931 | step: 42400 | reward: -2.1746 | episode length: 3.508771929824561
episode: 10977 | step: 42600 | reward: -2.1272 | episode length: 4.326086956521739
episode: 11029 | step: 42800 | reward: -2.5260 | episode length: 3.7884615384615383
episode: 11080 | step: 43000 | reward: -2.6471 | episode length: 3.980392156862745
episode: 11134 | step: 43200 | reward: -2.5417 | episode length: 3.7222222222222223
episode: 11183 | step: 43400 | reward: -2.1765 | episode length: 4.061224489795919
episode: 11230 | step: 43600 | reward: -2.1798 | episode length: 4.276595744680851
episode: 11280 | step: 43800 | reward: -2.3690 | episode length: 4.0
episode: 11335 | step: 44000 | reward: -2.5245 | episode length: 3.6545454545454548
episode: 11384 | step: 44200 | reward: -2.4429 | episode length: 4.081632653061225
episode: 11437 | step: 44400 | reward: -2.5406 | episode length: 3.69811320754717
episode: 11485 | step: 44600 | reward: -2.5937 | episode length: 4.1875
episode: 11538 | step: 44800 | reward: -2.5915 | episode length: 3.7547169811320753
episode: 11594 | step: 45000 | reward: -2.3821 | episode length: 3.625
episode: 11643 | step: 45200 | reward: -2.6051 | episode length: 4.061224489795919
episode: 11699 | step: 45400 | reward: -2.1071 | episode length: 3.5714285714285716
episode: 11749 | step: 45600 | reward: -2.1690 | episode length: 4.02
episode: 11803 | step: 45800 | reward: -2.5963 | episode length: 3.6666666666666665
episode: 11859 | step: 46000 | reward: -2.4643 | episode length: 3.5714285714285716
episode: 11909 | step: 46200 | reward: -2.3800 | episode length: 4.0
episode: 11963 | step: 46400 | reward: -2.5463 | episode length: 3.740740740740741
episode: 12010 | step: 46600 | reward: -2.7383 | episode length: 4.170212765957447
episode: 12061 | step: 46800 | reward: -2.1176 | episode length: 3.9411764705882355
episode: 12113 | step: 47000 | reward: -2.2971 | episode length: 3.8846153846153846
episode: 12167 | step: 47200 | reward: -2.5685 | episode length: 3.740740740740741
episode: 12212 | step: 47400 | reward: -2.6989 | episode length: 4.377777777777778
episode: 12267 | step: 47600 | reward: -2.6518 | episode length: 3.690909090909091
episode: 12319 | step: 47800 | reward: -2.5048 | episode length: 3.8461538461538463
episode: 12372 | step: 48000 | reward: -2.3028 | episode length: 3.7547169811320753
episode: 12419 | step: 48200 | reward: -2.1064 | episode length: 4.23404255319149
episode: 12470 | step: 48400 | reward: -2.7745 | episode length: 3.9019607843137254
episode: 12523 | step: 48600 | reward: -2.5915 | episode length: 3.792452830188679
episode: 12573 | step: 48800 | reward: -2.3840 | episode length: 3.96
episode: 12631 | step: 49000 | reward: -2.4069 | episode length: 3.4827586206896552
episode: 12680 | step: 49200 | reward: -2.4857 | episode length: 4.020408163265306
episode: 12731 | step: 49400 | reward: -1.8549 | episode length: 3.9019607843137254
episode: 12783 | step: 49600 | reward: -2.5404 | episode length: 3.9615384615384617
episode: 12837 | step: 49800 | reward: -1.9491 | episode length: 3.7037037037037037
episode: 12889 | step: 50000 | reward: -2.2894 | episode length: 3.826923076923077
episode: 12939 | step: 50200 | reward: -2.5330 | episode length: 4.0
episode: 12992 | step: 50400 | reward: -2.3811 | episode length: 3.7735849056603774
episode: 13043 | step: 50600 | reward: -2.5471 | episode length: 3.8823529411764706
episode: 13095 | step: 50800 | reward: -2.4808 | episode length: 3.7884615384615383
episode: 13149 | step: 51000 | reward: -2.3019 | episode length: 3.7962962962962963
episode: 13207 | step: 51200 | reward: -2.5750 | episode length: 3.413793103448276
episode: 13258 | step: 51400 | reward: -2.6873 | episode length: 3.9411764705882355
episode: 13314 | step: 51600 | reward: -2.2643 | episode length: 3.607142857142857
episode: 13365 | step: 51800 | reward: -2.4108 | episode length: 3.8823529411764706
episode: 13417 | step: 52000 | reward: -2.4202 | episode length: 3.826923076923077
episode: 13468 | step: 52200 | reward: -2.3039 | episode length: 3.9607843137254903
episode: 13525 | step: 52400 | reward: -2.0833 | episode length: 3.526315789473684
episode: 13576 | step: 52600 | reward: -2.2755 | episode length: 3.9215686274509802
episode: 13627 | step: 52800 | reward: -2.3931 | episode length: 3.9215686274509802
episode: 13680 | step: 53000 | reward: -2.1491 | episode length: 3.7358490566037736
episode: 13733 | step: 53200 | reward: -2.0075 | episode length: 3.792452830188679
